Unit,Block,SampleNo.,SampleName,AMFIsolate,ColonizationRegion,HarvestTime,Treatment,InoculationTreatment,InoculationTiming,ConcentrationPeruL.1.10,CopiesPer20uLWell,ConcentrationPeruL,ConcentrationPerGSample,AcceptedDroplets
88,5,88-S,Cuba8-co-inoc-4mos-5-S,Cuba8,Soil,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.58,11.6,5.8,20300,12266
107,6,107-R,Cuba8-co-inoc-4mos-6-R,Cuba8,Roots,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.56,11.2,5.6,19600,16743
107,6,107-S,Cuba8-co-inoc-4mos-6-S,Cuba8,Soil,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,2,40,20,70000,18081
129,7,129-R,Cuba8-co-inoc-4mos-7-R,Cuba8,Roots,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.55,11,5.5,19250,15075
129,7,129-S,Cuba8-co-inoc-4mos-7-S,Cuba8,Soil,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,1.1,22,11,38500,18452
17,1,17-R,Cuba8-pre-inoc-1-2mos-1-R,Cuba8,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,5.8,116,58,203000,17261
17,1,17-S,Cuba8-pre-inoc-1-2mos-1-S,Cuba8,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,5.8,116,58,203000,18039
25,2,25-R,Cuba8-pre-inoc-1-2mos-2-R,Cuba8,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,2.5,50,25,87500,20537
25,2,25-S,Cuba8-pre-inoc-1-2mos-2-S,Cuba8,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,7.5,150,75,262500,17131
47,3,47-R,Cuba8-pre-inoc-1-2mos-3-R,Cuba8,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,3.1,62,31,108500,20645
47,3,47-S,Cuba8-pre-inoc-1-2mos-3-S,Cuba8,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,8.6,172,86,301000,19145
62,4,62-R,Cuba8-pre-inoc-1-2mos-4-R,Cuba8,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,1.6,32,16,56000,18121
62,4,62-S,Cuba8-pre-inoc-1-2mos-4-S,Cuba8,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,6.4,128,64,224000,19395
89,5,89-R,Cuba8-pre-inoc-1-2mos-5-R,Cuba8,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,2.5,50,25,87500,15746
89,5,89-S,Cuba8-pre-inoc-1-2mos-5-S,Cuba8,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0.57,11.4,5.7,19950,16426
117,6,117-R,Cuba8-pre-inoc-1-2mos-6-R,Cuba8,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,5.3,106,53,185500,16105
117,6,117-S,Cuba8-pre-inoc-1-2mos-6-S,Cuba8,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,1.1,22,11,38500,17050
132,7,132-R,Cuba8-pre-inoc-1-2mos-7-R,Cuba8,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0.73,14.6,7.3,25550,14493
132,7,132-S,Cuba8-pre-inoc-1-2mos-7-S,Cuba8,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,1,20,10,35000,17734
1,1,1-R,Cuba8-pre-inoc-1-4mos-1-R,Cuba8,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,2.8,56,28,98000,12045
1,1,1-S,Cuba8-pre-inoc-1-4mos-1-S,Cuba8,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,6.8,136,68,238000,18751
33,2,33-R,Cuba8-pre-inoc-1-4mos-2-R,Cuba8,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,2.5,50,25,87500,15562
33,2,33-S,Cuba8-pre-inoc-1-4mos-2-S,Cuba8,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,8,160,80,280000,17489
48,3,48-R,Cuba8-pre-inoc-1-4mos-3-R,Cuba8,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,3.3,66,33,115500,20524
48,3,48-S,Cuba8-pre-inoc-1-4mos-3-S,Cuba8,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,8.3,166,83,290500,11840
68,4,68-R,Cuba8-pre-inoc-1-4mos-4-R,Cuba8,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,2.2,44,22,77000,18178
68,4,68-S,Cuba8-pre-inoc-1-4mos-4-S,Cuba8,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,6.1,122,61,213500,18425
95,5,95-R,Cuba8-pre-inoc-1-4mos-5-R,Cuba8,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,5,100,50,175000,16766
95,5,95-S,Cuba8-pre-inoc-1-4mos-5-S,Cuba8,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,1.5,30,15,52500,15978
103,6,103-R,Cuba8-pre-inoc-1-4mos-6-R,Cuba8,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,17.6,352,176,616000,18421
103,6,103-S,Cuba8-pre-inoc-1-4mos-6-S,Cuba8,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,2.2,44,22,77000,17917
123,7,123-R,Cuba8-pre-inoc-1-4mos-7-R,Cuba8,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0.58,11.6,5.8,20300,18176
123,7,123-S,Cuba8-pre-inoc-1-4mos-7-S,Cuba8,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0.71,14.2,7.1,24850,14940
9,1,9-R,Cuba8-pre-inoc-2-2mos-1-R,Cuba8,Roots,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,1.6,32,16,56000,20888
9,1,9-S,Cuba8-pre-inoc-2-2mos-1-S,Cuba8,Soil,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,5.8,116,58,203000,17179
23,2,23-R,Cuba8-pre-inoc-2-2mos-2-R,Cuba8,Roots,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,1.7,34,17,59500,17425
23,2,23-S,Cuba8-pre-inoc-2-2mos-2-S,Cuba8,Soil,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,7.1,142,71,248500,15341
